  33.71								
 165								
 577320463								
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)	DrainageDensity
1980 02 11 12	38361.6	0	395.64	0	-1.05	-1.05	375.99	0.65
1980 02 12 12	38440.26	0	398.92	0	-0.4	-0.4	388.42	0.65
1980 02 13 12	38707.2	0	407.44	0	1.03	1.03	426.41	0.65
1980 02 14 12	38707.2	0	434.26	0	2.82	2.82	450.16	0.65
1980 02 15 12	38724.21	5.98	331.44	0	5.76	5.76	506.3	0.65
1980 02 16 12	39052.8	1.99	419.05	0	7.77	7.77	578.37	0.65
1980 02 17 12	39052.8	0	422.37	0	-1	-1	331.36	0.65
1980 02 18 12	39069.81	0	448.4	0	-2.33	-2.33	297.3	0.65
1980 02 19 12	39398.4	2.67	375.28	0	0.97	0.97	415.34	0.65
1980 02 20 12	39398.4	1.11	251.77	0	8.86	8.86	854.19	0.65
1980 02 21 12	39415.41	0.07	421.19	0	14.11	14.11	1130.63	0.65
1980 02 22 12	39744	0	371.72	0	16.81	16.81	1255.39	0.65
1980 02 23 12	39744	0	445.25	0	15.41	15.41	1038.22	0.65
1980 02 24 12	39897.43	0	447.92	0	16.64	16.64	981.57	0.65
1980 02 25 12	40089.6	0	458.64	0	12.89	12.89	736.41	0.65
1980 02 26 12	40089.6	0	471.78	0	4.63	4.63	434.74	0.65
1980 02 27 12	40425.63	0	448.43	0	1.86	1.86	406.26	0.65
1980 02 28 12	40435.2	0	480.87	0	5.54	5.54	514.84	0.65
1980 02 29 12	40435.2	2.25	409.16	0	6.91	6.91	550.31	0.65
1980 03 01 12	40780.8	4.5	334.59	0	8.27	8.27	585.77	0.65
1980 03 02 12	40780.8	1.54	367.6	0	-2.57	-2.57	300.14	0.65
1980 03 03 12	40780.8	0.15	444.67	0	-5.79	-5.79	243.01	0.65
1980 03 04 12	41126.4	13.58	410.33	0	-1.78	-1.78	330.03	0.65
1980 03 05 12	41126.4	6.09	374.19	0	6.43	6.43	597.29	0.65
1980 03 06 12	41126.4	2.53	423.08	0	7	7	597.43	0.65
1980 03 07 12	41472	19.48	404.43	0	9.26	9.26	745.56	0.65
1980 03 08 12	41472	6.32	282.65	0	16.33	16.33	1284.56	0.65
1980 03 09 12	41817.6	0.17	431.06	0	14.94	14.94	1056.75	0.65
1980 03 10 12	41817.6	0.06	461.82	0	14.11	14.11	962.89	0.65
1980 03 11 12	41817.6	13.63	354.84	0	14.46	14.46	993.3	0.65
1980 03 12 12	42163.2	46.17	295.9	0	11.28	11.28	884.97	0.65
1980 03 13 12	42163.2	14.2	226.64	0	9.21	9.21	840.34	0.65
1980 03 14 12	42163.2	0.11	420.87	0	6.22	6.22	664.71	0.65
1980 03 15 12	42508.8	0.01	455.08	0	6.86	6.86	638.12	0.65
1980 03 16 12	42508.8	39.55	384	0	10.13	10.13	821.47	0.65
1980 03 17 12	42844.83	36.26	225.78	0	15.61	15.61	1220.43	0.65
1980 03 18 12	42854.4	7.69	505.32	0	9.12	9.12	738.19	0.65
1980 03 19 12	42854.4	8.96	327.14	0	6.89	6.89	681.6	0.65
1980 03 20 12	43200	45.94	322.24	0	8.23	8.23	800.21	0.65
1980 03 21 12	43200	14.32	457.28	0	11.23	11.23	882.1	0.65
1980 03 22 12	43200	0	512.11	0	8.06	8.06	683.99	0.65
1980 03 23 12	43545.6	14.46	399.96	0	9.71	9.71	732.22	0.65
1980 03 24 12	43545.6	9.68	405.66	0	13	13	895.41	0.65
1980 03 25 12	43555.17	1.63	521.24	0	12.81	12.81	879.51	0.65
1980 03 26 12	43891.2	0.04	448.08	0	11.45	11.45	878.35	0.65
1980 03 27 12	43891.2	46.84	247.76	0	9.06	9.06	884.89	0.65
1980 03 28 12	44236.8	16.2	329.81	0	10.97	10.97	1036.8	0.65
1980 03 29 12	44236.8	5	255.09	0	15.34	15.34	1370.69	0.65
1980 03 30 12	44236.8	1.6	325.43	0	16.16	16.16	1377.13	0.65
1980 03 31 12	44582.4	0	521.92	0	12.69	12.69	956.84	0.65
1980 04 01 12	44582.4	0	532.41	0	9.76	9.76	767.17	0.65
1980 04 02 12	44582.4	0	558.78	0	12.18	12.18	882.43	0.65
1980 04 03 12	44928	3.91	360.03	0	16.05	16.05	1219.92	0.65
1980 04 04 12	44928	1.3	438.89	0	16.34	16.34	1246.84	0.65
1980 04 05 12	45273.6	0	551.56	0	11.68	11.68	848.9	0.65
1980 04 06 12	45273.6	0	558.5	0	11.25	11.25	805.12	0.65
1980 04 07 12	45273.6	0.22	455.9	0	13.43	13.43	983.77	0.65
1980 04 08 12	45619.2	2.61	380.69	0	18.64	18.64	1333.73	0.65
1980 04 09 12	45619.2	0.85	566.07	0	15.72	15.72	986.18	0.65
1980 04 10 12	45619.2	0.05	538.13	0	13.75	13.75	852.49	0.65
1980 04 11 12	45964.8	78.32	427.28	0	13.92	13.92	902.09	0.65
1980 04 12 12	45964.8	42.38	416.94	0	15.2	15.2	1042.82	0.65
1980 04 13 12	45974.37	31.54	281.97	0	14.48	14.48	1139.6	0.65
1980 04 14 12	46310.4	9.05	397.89	0	11.4	11.4	905.27	0.65
1980 04 15 12	46310.4	0.12	387.1	0	7.49	7.49	741.72	0.65
1980 04 16 12	46502.57	0	574.99	0	8.19	8.19	708.7	0.65
1980 04 17 12	46656	0.02	533.62	0	11.76	11.76	805.29	0.65
1980 04 18 12	46656	0.27	429.61	0	15.55	15.55	1051.61	0.65
1980 04 19 12	46984.59	0.34	410.03	0	16.62	16.62	1175.33	0.65
1980 04 20 12	47001.6	0.08	555.4	0	16.53	16.53	1155.18	0.65
1980 04 21 12	47001.6	0	567.77	0	17.65	17.65	1176.68	0.65
1980 04 22 12	47330.19	0	569.57	0	18.65	18.65	1204.02	0.65
1980 04 23 12	47347.2	0	568.65	0	19.79	19.79	1285.12	0.65
1980 04 24 12	47347.2	0	557.05	0	20.77	20.77	1423.03	0.65
1980 04 25 12	47675.79	51.36	394.51	0	20.83	20.83	1534.49	0.65
1980 04 26 12	47692.8	21.32	391.58	0	19.76	19.76	1477.91	0.65
1980 04 27 12	47692.8	1.41	449.17	0	17.71	17.71	1314.03	0.65
1980 04 28 12	47959.74	0	413.87	0	11.97	11.97	1016.26	0.65
1980 04 29 12	48038.4	0.19	432.15	0	13.47	13.47	1070.04	0.65
1980 04 30 12	48038.4	0.07	508.06	0	16.1	16.1	1222.67	0.65
1980 05 01 12	48161.31	0	542.98	0	17.35	17.35	1311.04	0.65
1980 05 02 12	48384	1.92	323.87	0	18.34	18.34	1501.56	0.65
1980 05 03 12	48384	0.72	463.44	0	18.93	18.93	1511.97	0.65
1980 05 04 12	48393.57	0.03	536.62	0	17.87	17.87	1338.83	0.65
1980 05 05 12	48729.6	0	543.01	0	18.39	18.39	1343.16	0.65
1980 05 06 12	48729.6	0.07	441.29	0	18.72	18.72	1350.98	0.65
1980 05 07 12	48729.6	0.79	423.39	0	19.67	19.67	1404.41	0.65
1980 05 08 12	48996.54	0.26	521.89	0	20.26	20.26	1453.58	0.65
1980 05 09 12	49075.2	0	547.33	0	16.58	16.58	1163.65	0.65
1980 05 10 12	49075.2	0	581.81	0	14.67	14.67	1013.34	0.65
1980 05 11 12	49084.77	0	590.04	0	16.83	16.83	1186.43	0.65
1980 05 12 12	49420.8	0	506.54	0	21.88	21.88	1743.86	0.65
1980 05 13 12	49420.8	0.41	354.37	0	23.18	23.18	1996.43	0.65
1980 05 14 12	49420.8	6.44	269.4	0	22.45	22.45	1986.35	0.65
1980 05 15 12	49481.41	2.55	319.59	0	19.4	19.4	1687.98	0.65
1980 05 16 12	49766.4	36.23	346.03	0	19.81	19.81	1751.62	0.65
1980 05 17 12	49766.4	34.4	179.22	0	21.14	21.14	2008.78	0.65
1980 05 18 12	49766.4	7.53	363.89	0	20.86	20.86	1911.25	0.65
1980 05 19 12	49775.97	11.69	343.55	0	23.11	23.11	2044.55	0.65
1980 05 20 12	50094.99	3.9	426.74	0	21.9	21.9	1887.02	0.65
1980 05 21 12	50112	5.97	381.82	0	20.6	20.6	1721.64	0.65
1980 05 22 12	50112	37.44	384.49	0	21.26	21.26	1792.51	0.65
1980 05 23 12	50112	16.62	312.94	0	21.93	21.93	1929.6	0.65
1980 05 24 12	50234.91	1.6	511.67	0	20.98	20.98	1765	0.65
1980 05 25 12	50457.6	0	531.18	0	22.05	22.05	1795.69	0.65
1980 05 26 12	50457.6	0	522.87	0	22.51	22.51	1806.24	0.65
1980 05 27 12	50457.6	0	558.87	0	22.02	22.02	1700.03	0.65
1980 05 28 12	50457.6	0.18	439.07	0	23.12	23.12	1822.04	0.65
1980 05 29 12	50467.17	1.18	398.58	0	24.25	24.25	1989.68	0.65
1980 05 30 12	50724.54	0.37	511	0	24.04	24.04	2008.22	0.65
1980 05 31 12	50803.2	0	509.75	0	23.75	23.75	1996.89	0.65
1980 06 01 12	50803.2	0	518.8	0	23.74	23.74	1986.5	0.65
1980 06 02 12	50803.2	0	520.75	0	24.17	24.17	2036.82	0.65
1980 06 03 12	50803.2	0	517.26	0	25.14	25.14	2137.41	0.65
1980 06 04 12	50803.2	0	525.05	0	25.65	25.65	2170.6	0.65
1980 06 05 12	50812.77	0	524.21	0	26.23	26.23	2250.29	0.65
1980 06 06 12	50995.38	0	503.42	0	27.07	27.07	2392.7	0.65
1980 06 07 12	51131.79	0	499.32	0	27.09	27.09	2418.1	0.65
1980 06 08 12	51148.8	0	479.35	0	26.7	26.7	2292.62	0.65
1980 06 09 12	51148.8	0	545.56	0	22.05	22.05	1654.66	0.65
1980 06 10 12	51148.8	0	575	0	18.83	18.83	1366.48	0.65
1980 06 11 12	51148.8	0	575.73	0	20.78	20.78	1451.41	0.65
1980 06 12 12	51148.8	0	582.38	0	20.6	20.6	1427.59	0.65
1980 06 13 12	51148.8	0	568.97	0	22.16	22.16	1603.15	0.65
1980 06 14 12	51148.8	0	560.26	0	23.53	23.53	1774.74	0.65
1980 06 15 12	51148.8	0	543.19	0	25.22	25.22	2005.19	0.65
1980 06 16 12	51148.8	0	518.41	0	26.58	26.58	2248.07	0.65
1980 06 17 12	51148.8	0.61	377.29	0	27.49	27.49	2417.16	0.65
1980 06 18 12	51148.8	2.68	361.26	0	26.76	26.76	2381.31	0.65
1980 06 19 12	51148.8	2.45	346.9	0	26.03	26.03	2342.65	0.65
1980 06 20 12	51148.8	5.8	344.6	0	25.5	25.5	2291.9	0.65
1980 06 21 12	51148.8	3	342.89	0	24.88	24.88	2210.1	0.65
1980 06 22 12	51148.8	0.42	469.28	0	24.43	24.43	2137.61	0.65
1980 06 23 12	51148.8	9.45	334.69	0	24.82	24.82	2237.4	0.65
1980 06 24 12	51148.8	6.3	272.78	0	23.95	23.95	2236.06	0.65
1980 06 25 12	51148.8	1.05	405.97	0	23.82	23.82	2200.07	0.65
1980 06 26 12	51148.8	0	498.54	0	25.83	25.83	2237.36	0.65
1980 06 27 12	51148.8	0	518.77	0	26.73	26.73	2237.17	0.65
1980 06 28 12	51148.8	0	509.24	0	27.48	27.48	2356.06	0.65
1980 06 29 12	51148.8	12.26	331.34	0	27.32	27.32	2449.37	0.65
1980 06 30 12	51148.8	4.09	498.2	0	25.22	25.22	2168.11	0.65
1980 07 01 12	51148.8	0	506.48	0	26.83	26.83	2337.49	0.65
1980 07 02 12	51148.8	0	491.76	0	28.74	28.74	2565.37	0.65
1980 07 03 12	51148.8	0	471.85	0	28.75	28.75	2592.7	0.65
1980 07 04 12	51070.14	0	484.08	0	28.18	28.18	2525.22	0.65
1980 07 05 12	50926.11	0	489.23	0	28.44	28.44	2562.57	0.65
1980 07 06 12	50803.2	1.09	387.08	0	28.96	28.96	2639.57	0.65
1980 07 07 12	50803.2	1.02	482.41	0	29.16	29.16	2565.49	0.65
1980 07 08 12	50803.2	0.22	507.74	0	29.19	29.19	2535.47	0.65
1980 07 09 12	50803.2	0	496.88	0	29.22	29.22	2583.71	0.65
1980 07 10 12	50803.2	0	495.06	0	29.54	29.54	2631.44	0.65
1980 07 11 12	50786.19	0	498.16	0	30.04	30.04	2629.56	0.65
1980 07 12 12	50580.52	0	500.68	0	30.6	30.6	2620.31	0.65
1980 07 13 12	50457.6	0	523.2	0	30.2	30.2	2464.28	0.65
1980 07 14 12	50457.6	0	520.95	0	30.76	30.76	2545.18	0.65
1980 07 15 12	50457.6	0.2	400.94	0	31.5	31.5	2747.63	0.65
1980 07 16 12	50457.6	0.88	398.42	0	31.5	31.5	2736.45	0.65
1980 07 17 12	50378.94	0.85	389.08	0	30.91	30.91	2618.74	0.65
1980 07 18 12	50121.57	0.38	383.91	0	30.68	30.68	2600.96	0.65
1980 07 19 12	50112	1.44	386.68	0	29.33	29.33	2441.1	0.65
1980 07 20 12	50112	3.15	377.58	0	28.61	28.61	2403.86	0.65
1980 07 21 12	50112	8.99	360.91	0	27.63	27.63	2393.52	0.65
1980 07 22 12	49958.57	7.71	322.34	0	27.01	27.01	2447.75	0.65
1980 07 23 12	49766.4	5.41	289.02	0	25.89	25.89	2397.75	0.65
1980 07 24 12	49766.4	5.77	316.34	0	25.11	25.11	2276.38	0.65
1980 07 25 12	49766.4	1.51	482.3	0	26.29	26.29	2190.01	0.65
1980 07 26 12	49687.74	0	470.64	0	26.94	26.94	2241.09	0.65
1980 07 27 12	49420.8	6.39	343.46	0	26.7	26.7	2300.87	0.65
1980 07 28 12	49420.8	2.34	351.92	0	25.52	25.52	2201.52	0.65
1980 07 29 12	49420.8	0.07	487.11	0	25.21	25.21	2035.41	0.65
1980 07 30 12	49267.38	0	515.37	0	26.12	26.12	2043.89	0.65
1980 07 31 12	49075.2	0	525.44	0	27.82	27.82	2177.08	0.65
1980 08 01 12	49075.2	0	495.63	0	28.97	28.97	2341.49	0.65
1980 08 02 12	49075.2	0	499.26	0	28.55	28.55	2317.3	0.65
1980 08 03 12	48739.17	10.01	365.76	0	27.78	27.78	2310.45	0.65
1980 08 04 12	48729.6	3.67	400.98	0	26.35	26.35	2192.7	0.65
1980 08 05 12	48729.6	0.11	477.42	0	26.63	26.63	2219.24	0.65
1980 08 06 12	48650.94	0.38	397.79	0	27.58	27.58	2319.93	0.65
1980 08 07 12	48384	1.4	379.53	0	28.59	28.59	2399.21	0.65
1980 08 08 12	48384	0.73	400.01	0	29.22	29.22	2425.39	0.65
1980 08 09 12	48384	0.26	477.92	0	29.41	29.41	2399.3	0.65
1980 08 10 12	48038.4	2.24	377.91	0	29.71	29.71	2492.31	0.65
1980 08 11 12	48038.4	3.77	375.64	0	29.08	29.08	2431.25	0.65
1980 08 12 12	48038.4	1.08	424.82	0	28.24	28.24	2402.97	0.65
1980 08 13 12	47692.8	0.61	387.97	0	28.23	28.23	2422.45	0.65
1980 08 14 12	47692.8	0.37	373.33	0	28.6	28.6	2413.98	0.65
1980 08 15 12	47692.8	0.67	372.6	0	28.5	28.5	2375.06	0.65
1980 08 16 12	47347.2	0.21	483.6	0	27.96	27.96	2245.1	0.65
1980 08 17 12	47347.2	5.2	363.3	0	28.26	28.26	2353.43	0.65
1980 08 18 12	47347.2	2.35	373.71	0	28.54	28.54	2393	0.65
1980 08 19 12	47001.6	0.24	437.01	0	28.73	28.73	2394.26	0.65
1980 08 20 12	47001.6	0.52	375.23	0	28.99	28.99	2396.16	0.65
1980 08 21 12	47001.6	0.41	462.06	0	29.52	29.52	2176.35	0.65
1980 08 22 12	46656	0.08	521.83	0	29.19	29.19	1963.23	0.65
1980 08 23 12	46656	3.02	378.79	0	27.96	27.96	1968.85	0.65
1980 08 24 12	46656	1.01	478.81	0	27.16	27.16	1905.3	0.65
1980 08 25 12	46310.4	0.23	403.05	0	26.41	26.41	1838.76	0.65
1980 08 26 12	46310.4	0.08	511.03	0	26.32	26.32	1725.21	0.65
1980 08 27 12	46310.4	0	509.95	0	26.46	26.46	1749.38	0.65
1980 08 28 12	45964.8	10.77	370.33	0	26.55	26.55	1894.62	0.65
1980 08 29 12	45964.8	4.25	369.49	0	26.36	26.36	1927.66	0.65
1980 08 30 12	45964.8	0.26	450.01	0	26.35	26.35	1903.66	0.65
1980 08 31 12	45619.2	0.01	487.9	0	26.32	26.32	1872.64	0.65
1980 09 01 12	45619.2	3.77	390.9	0	26.72	26.72	1962.68	0.65
1980 09 02 12	45334.21	2.81	363.43	0	27.35	27.35	2056.04	0.65
1980 09 03 12	45273.6	1.46	365.24	0	27.19	27.19	2012.64	0.65
1980 09 04 12	45273.6	0.31	485.04	0	26.97	26.97	1942.32	0.65
1980 09 05 12	44928	6.81	353.62	0	27.4	27.4	2083.58	0.65
1980 09 06 12	44928	2.27	468.56	0	27.09	27.09	2020.91	0.65
1980 09 07 12	44928	1.02	376.98	0	27.16	27.16	2023.28	0.65
1980 09 08 12	44582.4	0.34	502.52	0	26.54	26.54	1813.23	0.65
1980 09 09 12	44582.4	0	494.59	0	26.76	26.76	1821.21	0.65
1980 09 10 12	44582.4	0.09	461.88	0	26.97	26.97	1838.61	0.65
1980 09 11 12	44236.8	0.03	500.73	0	26.73	26.73	1740.8	0.65
1980 09 12 12	44236.8	0	485.23	0	25.76	25.76	1741.75	0.65
1980 09 13 12	43891.2	0	478.97	0	25.89	25.89	1844.24	0.65
1980 09 14 12	43891.2	0.57	364.77	0	27.08	27.08	2054.39	0.65
1980 09 15 12	43891.2	0.19	467.22	0	27.7	27.7	1985.2	0.65
1980 09 16 12	43545.6	0	489.46	0	26.71	26.71	1813.61	0.65
1980 09 17 12	43545.6	3.41	356.74	0	27.09	27.09	1854.66	0.65
1980 09 18 12	43545.6	1.14	389.11	0	21.67	21.67	1554.79	0.65
1980 09 19 12	43200	0.15	403.96	0	22.3	22.3	1606.24	0.65
1980 09 20 12	43200	0.36	309.24	0	23.14	23.14	1818.16	0.65
1980 09 21 12	42854.4	0.31	329.52	0	26.59	26.59	2172.15	0.65
1980 09 22 12	42854.4	0.07	391.53	0	27.42	27.42	2200.69	0.65
1980 09 23 12	42854.4	2.49	318.23	0	27.53	27.53	2216.86	0.65
1980 09 24 12	42508.8	4.67	316.38	0	27.58	27.58	2212.33	0.65
1980 09 25 12	42508.8	23.41	279.7	0	26.54	26.54	2165.83	0.65
1980 09 26 12	42508.8	7.38	308.38	0	22.77	22.77	1833.05	0.65
1980 09 27 12	42163.2	13.2	315.85	0	19.51	19.51	1490.22	0.65
1980 09 28 12	42163.2	25.81	265.6	0	18.82	18.82	1512.55	0.65
1980 09 29 12	41817.6	39.01	141.06	0	18.26	18.26	1642.17	0.65
1980 09 30 12	41817.6	11.27	118.15	0	16.86	16.86	1622.05	0.65
1980 10 01 12	41817.6	0.21	171.77	0	16.97	16.97	1603.1	0.65
1980 10 02 12	41472	0	391.93	0	17.88	17.88	1429.93	0.65
1980 10 03 12	41472	0	463.87	0	16.17	16.17	1082.36	0.65
1980 10 04 12	41472	0	478.21	0	13.11	13.11	842.15	0.65
1980 10 05 12	41126.4	0	478.05	0	13.12	13.12	818.4	0.65
1980 10 06 12	41126.4	0	453.29	0	11.01	11.01	757.49	0.65
1980 10 07 12	41065.79	0	472.98	0	11.05	11.05	765.84	0.65
1980 10 08 12	40780.8	0	473.66	0	14.3	14.3	893.06	0.65
1980 10 09 12	40780.8	0	456.46	0	17.51	17.51	1104.41	0.65
1980 10 10 12	40435.2	0	447.71	0	19.88	19.88	1294.05	0.65
1980 10 11 12	40435.2	0	434.47	0	20.71	20.71	1311.89	0.65
1980 10 12 12	40435.2	0	460.13	0	15.11	15.11	890.05	0.65
1980 10 13 12	40089.6	0	458.14	0	12.4	12.4	758.37	0.65
1980 10 14 12	40089.6	0	456.76	0	11.94	11.94	757.25	0.65
1980 10 15 12	40089.6	0	449.02	0	13.92	13.92	873.38	0.65
1980 10 16 12	39744	0	434.27	0	17.03	17.03	1136.16	0.65
1980 10 17 12	39744	13.79	268.64	0	19.96	19.96	1595.3	0.65
1980 10 18 12	39744	17.14	167.52	0	21.92	21.92	2013.97	0.65
1980 10 19 12	39398.4	4.18	263.71	0	21.44	21.44	1834.05	0.65
1980 10 20 12	39398.4	0	428.74	0	14.48	14.48	1009.29	0.65
1980 10 21 12	39398.4	0	398.95	0	12.75	12.75	885.39	0.65
1980 10 22 12	39052.8	0	421.27	0	14	14	966.48	0.65
1980 10 23 12	39052.8	1.76	298.74	0	16.56	16.56	1132.94	0.65
1980 10 24 12	39052.8	12.35	284.32	0	15.68	15.68	1080.53	0.65
1980 10 25 12	38707.2	3.92	389.81	0	10.7	10.7	790.41	0.65
1980 10 26 12	38707.2	0.03	356.18	0	8.45	8.45	708.11	0.65
1980 10 27 12	38707.2	29.96	298.84	0	10.94	10.94	873.64	0.65
1980 10 28 12	38361.6	9.99	269.23	0	15.66	15.66	1227.63	0.65
1980 10 29 12	38361.6	0.09	256.75	0	13.96	13.96	1095.11	0.65
1980 10 30 12	38361.6	0.1	243.92	0	9.13	9.13	817.49	0.65
1980 10 31 12	38016	0.02	392.7	0	7.27	7.27	659.82	0.65
1980 11 01 12	38016	0	400.77	0	9.52	9.52	681.53	0.65
1980 11 02 12	38016	0	397.1	0	11.8	11.8	768.1	0.65
1980 11 03 12	37749.06	0	383.34	0	14.47	14.47	929.87	0.65
1980 11 04 12	37670.4	0	369.21	0	14.72	14.72	960.93	0.65
1980 11 05 12	37670.4	0	384.8	0	12.5	12.5	795.84	0.65
1980 11 06 12	37660.83	0	381.23	0	10.36	10.36	706.34	0.65
1980 11 07 12	37324.8	0	378.4	0	11.88	11.88	811.72	0.65
1980 11 08 12	37324.8	0	368.83	0	14.91	14.91	1002.77	0.65
1980 11 09 12	37324.8	0	333.65	0	17.45	17.45	1234.06	0.65
1980 11 10 12	37132.62	0	334.42	0	17.28	17.28	1206.9	0.65
1980 11 11 12	36979.2	0	363.37	0	14.82	14.82	958.56	0.65
1980 11 12 12	36979.2	0	365.35	0	13.01	13.01	814.02	0.65
1980 11 13 12	36979.2	0	369.51	0	11.23	11.23	727.48	0.65
1980 11 14 12	36712.26	27.98	266.1	0	12.56	12.56	881.62	0.65
1980 11 15 12	36633.6	10.09	153.43	0	14.02	14.02	1177.13	0.65
1980 11 16 12	36633.6	12.49	130.17	0	13.4	13.4	1240.56	0.65
1980 11 17 12	36633.6	7.59	139.37	0	12.79	12.79	1155.72	0.65
1980 11 18 12	36441.43	1.17	294.05	0	9.78	9.78	837.04	0.65
1980 11 19 12	36288	0	242.26	0	3.41	3.41	552.02	0.65
1980 11 20 12	36288	0	322.3	0	2.54	2.54	491.84	0.65
1980 11 21 12	36288	0	340.72	0	3.75	3.75	497.73	0.65
1980 11 22 12	36278.43	21.09	251.45	0	5.39	5.39	581.71	0.65
1980 11 23 12	36021.06	24.97	163.76	0	7.5	7.5	797.62	0.65
1980 11 24 12	35942.4	6.71	77.33	0	9.53	9.53	1003.03	0.65
1980 11 25 12	35942.4	0.26	150.48	0	8.21	8.21	902.61	0.65
1980 11 26 12	35942.4	23.19	199.58	0	7.42	7.42	783.61	0.65
1980 11 27 12	35942.4	8.19	156.6	0	6.3	6.3	726.27	0.65
1980 11 28 12	35819.48	0.15	82.2	0	3.39	3.39	646.82	0.65
1980 11 29 12	35613.81	0	216.93	0	1.49	1.49	547.16	0.65
1980 11 30 12	35596.8	0	337.57	0	4.12	4.12	530.79	0.65
1980 12 01 12	35596.8	0	341.17	0	7.39	7.39	590.32	0.65
1980 12 02 12	35596.8	0	329.09	0	10.07	10.07	699.13	0.65
1980 12 03 12	35596.8	0	330.07	0	7.22	7.22	588.18	0.65
1980 12 04 12	35596.8	0	328.74	0	5.21	5.21	526.3	0.65
1980 12 05 12	35473.89	0	335.55	0	6.72	6.72	565.48	0.65
1980 12 06 12	35329.86	0	331.55	0	9.13	9.13	675.35	0.65
1980 12 07 12	35251.2	0	323.42	0	12.34	12.34	847.38	0.65
1980 12 08 12	35251.2	5.35	238.97	0	13.36	13.36	935.35	0.65
1980 12 09 12	35251.2	14.85	227.28	0	14.31	14.31	1032.64	0.65
1980 12 10 12	35251.2	4.36	280	0	12.58	12.58	920.62	0.65
1980 12 11 12	35251.2	0	257.97	0	4.45	4.45	586.22	0.65
1980 12 12 12	35251.2	0	315.68	0	4.05	4.05	545.82	0.65
1980 12 13 12	35251.2	0	327.22	0	6.87	6.87	581.77	0.65
1980 12 14 12	35251.2	0	327.46	0	7.04	7.04	554.71	0.65
