1																																																																																	
1																																																																																	
1																																																																																	
Year	Mnth	Day	STATION	NAME	LATITUDE	LONGITUDE	ELEVATION	AWND	DAPR	FMTM	FRGB	FRGT	MDPR	MDSF	PGTM	Q	prcp(mm/day)	PSUN	SNOW	SNWD	TAVG	tmax(C)_daymet	tmin(C)_daymet	TOBS	TSUN	WDF1	WDF2	WDF5	WDFG	WDFM	WESD	WESF	WSF1	WSF2	WSF5	WSFG	WSFM	WT01	WT02	WT03	WT04	WT05	WT06	WT07	WT08	WT09	WT10	WT11	WT13	WT14	WT15	WT16	WT17	WT18	WT19	WT21	WT22	WV03	WV20	DAEV	DAWM	EVAP	MDEV	MDWM	MNPN	MXPN	WDMV	FRTH	GAHT	SN32	SX32	DASF	SN02	SX02	SN01	SN03	SX01	SX03	SN52	SX52	Occur
2000	2	4	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	9.84		2030				11200	2114		0		0	0	51	62	40				340	340			0			19.9	25.1			1											1																																27226
2000	2	5	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.16		900				10800	848		0		0	0	40	51	28				30	30			0			17.9	23																																														27226
2000	2	6	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	2.68		1531				9130	1530		0		0	0	42	58	26				220	220			0			10.1	11										1																																				27226
2000	2	7	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	2.68		1644				7990	1432		0		0	0	48	64	32				160	330			0			8.9	11			1	1						1				1																																27226
2000	2	8	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	2.91		1540				11500	925		0.08		0	0	50	59	40				270	280			0			6.9	8.9			1											1			1																													27226
2000	2	9	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.03		1750				8270	1333		0		0	0	51	68	33				210	310			0			10.1	16.1			1	1										1																																27226
2000	2	10	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	9.17		1335				5770	1349		0		0	0	55	70	40				200	200			0			21.9	25.9			1											1																																27226
2000	2	11	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	9.4		1240				6940	1102		0		0	0	66	76	56				220	230			0			17.9	23.9																																														27226
2000	2	12	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.93		1622				6290	1524		0		0	0	68	77	59				200	200			0			16.1	19.9			1	1										1																																27226
2000	2	13	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	13.87		2059				4960	2036		0.62		0	0	68	73	62				220	230			0			29.1	38.9			1		1									1			1																													27226
2000	2	14	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.16		19				9190	1402		0.03		0	0	67	78	55				240	270			0			17	21			1											1			1																													27226
2000	2	15	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.28		1440				11800	1400		0		0	0	61	74	47				170	160			0			15	17.9																																														27226
2000	2	16	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	2.91		1533				11100	1527		0		0	0	70	81	58				130	140			0			10.1	13			1	1										1																																27226
2000	2	17	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.93		2201				11500	2324		0		0	0	67	73	61				150	150			0			15	17			1	1										1			1																													27226
2000	2	18	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	12.75		1458				10600	1218		0		0	0	74	80	67				210	190			0			23	30																																														27226
2000	2	19	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	10.29		1716				12900	1716		0		0	0	56	69	43				350	350			0			16.1	19.9			1											1																																27226
2000	2	20	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.95		810				9980	809		0		0	0	51	66	36				30	30			0			17.9	21.9																																														27226
2000	2	21	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	5.59		1009				8400	1001		0		0	0	53	69	36				50	40			0			16.1	17.9																																														27226
2000	2	22	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.71		1039				8380	1038		0		0	0	55	68	42				120	120			0			16.1	19.9																																														27226
2000	2	23	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	12.08		1422				7530	1458		0		0	0	61	71	51				140	130			0			23	29.1																																														27226
2000	2	24	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	10.51		1110				5590	1109		0		0	0	67	76	58				150	140			0			19.9	23			1											1																																27226
2000	2	25	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	11.18		1543				6710	1525		0		0	0	64	75	53				140	160			0			21.9	25.9			1	1										1																																27226
2000	2	26	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	12.75		1102				6540	1028		0		0	0	70	79	61				150	140			0			23	28			1											1																																27226
2000	2	27	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.5		239				11500	238		0.57		0	0	61	71	50				300	290			0			17.9	23.9			1		1									1			1																													27226
2000	2	28	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.7		841				17800	859		0		0	0	58	72	43				50	70			0			15	17.9																																														27226
2000	2	29	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	5.59		1541				17800	1326		0		0	0	58	74	42				200	190			0			16.1	19.9																																														27226
2000	3	1	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.38		1616				13700	1615		0		0	0	69	81	57				210	200			0			16.1	19.9			1											1			1																													27226
2000	3	2	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	5.14		1705				14300	1704		0		0	0	67	78	55				210	210			0			14.1	15			1											1																																27226
2000	3	3	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	9.62		1800				11200	2311		0.01		0	0	67	76	57				210	290			0			21.9	28			1	1										1			1																													27226
2000	3	4	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.28		840				10500	125		0		0	0	56	65	47				360	330			0			19.9	23.9																																														27226
2000	3	5	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.7		1639				7810	1639		0		0	0	58	73	42				200	200			0			14.1	15			1											1																																27226
2000	3	6	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	3.8		1620				9440	1615		0		0	0	63	79	46				200	180			0			14.1	16.1			1											1																																27226
2000	3	7	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.16		1403				8350	1503		0		0	0	65	79	50				130	150			0			19.9	23			1	1										1																																27226
2000	3	8	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.61		1413				7450	1405		0		0	0	65	78	52				150	160			0			17.9	21.9			1	1										1																																27226
2000	3	9	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.38		1550				6780	1550		0		0	0	73	82	64				200	190			0			17	19.9			1											1																																27226
2000	3	10	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.5		1608				8720	1743		0.01		0	0	74	82	65				190	180			0			17.9	21.9			1											1			1																													27226
2000	3	11	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	10.07		2045				32100	2045		0.27		0	0	59	74	43				360	360			0			23.9	33.1			1		1									1			1																													27226
2000	3	12	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.38		17				66800	16		0		0	0	50	63	36				350	340			0			21.9	25.9																																														27226
2000	3	13	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.47		1710				73000	1540		0		0	0	52	69	35				180	160			0			13	15																																														27226
2000	3	14	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.72		1257				72700	1206		0		0	0	57	72	42				130	120			0			19.9	25.1																																														27226
2000	3	15	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	13.42		2223				54600	2222		0.28		0	0	62	71	53				130	120			0			25.1	36			1											1			1																													27226
2000	3	16	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.61		25				35100	12		0.46		0	0	71	77	64				130	140			0			23.9	31.1			1		1									1			1																													27226
2000	3	17	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.61		800				26600	818		0		0	0	66	77	55				30	20			0			17.9	21			1											1																																27226
2000	3	18	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	9.62		2350				19800	2346		1.81		0	0	64	72	55				110	100			0			21	30			1		1									1			1																													27226
2000	3	19	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	13.2		2359				26200	432		0.7		0	0	61	74	48				110	150			0			28	36			1		1									1			1																													27226
2000	3	20	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	3.58		1810				61100	1529		0		0	0	56	70	42				170	270			0			10.1	14.1																																														27226
2000	3	21	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	3.13		1032				84000	1046		0		0	0	62	78	45				130	50			0			13	14.1			1											1																																27226
2000	3	22	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.47		1518				86900	1359		0		0	0	66	82	49				30	360			0			11	15			1											1																																27226
2000	3	23	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.93		1119				86600	1315		0		0	0	65	77	53				130	150			0			17.9	21			1											1																																27226
2000	3	24	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.25		1553				74600	1326		0		0	0	65	76	54				200	180			0			14.1	17			1	1										1																																27226
2000	3	25	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.47		1423				46800	1423		0		0	0	65	78	52				200	210			0			17	21			1	1										1																																27226
2000	3	26	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.7		1602				30600	1602		0.21		0	0	65	71	59				50	50			0			15	16.1			1	1						1				1			1																													27226
2000	3	27	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.16		1501				24200	1500		0.15		0	0	64	77	51				300	300			0			17.9	25.1			1											1			1																													27226
2000	3	28	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.05		1340				22300	1339		0		0	0	61	77	44				200	200			0			17.9	21.9																																														27226
2000	3	29	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.5		1415				19300	1410		3.02		0	0	68	79	57				270	270			0			30	42.9			1		1									1			1																													27226
2000	3	30	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.5		420				19300	1946		0.02		0	0	74	84	64				220	20			0			16.1	17.9			1											1			1																													27226
2000	3	31	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.49		1018				20700	1200		0		0	0	68	80	56				10	40			0			15	19.9			1											1																																27226
2000	4	1	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	11.86		1046				21700	1040		0		0	0	68	77	59				140	140			0			23	25.9																																														27226
2000	4	2	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	12.97		1633				25400	1633		0.1		0	0	76	83	69				180	180			0			21	23.9			1											1			1																													27226
2000	4	3	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	12.53		1118				84400	1030		0.56		0	0	69	78	59				200	200			0			31.1	38.9			1											1			1																													27226
2000	4	4	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	10.96		344				137000	343		0		0	0	54	64	44				300	290			0			21.9	32																	1																													27226
2000	4	5	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.92		1621				160000	1620		0		0	0	54	69	39				190	190			0			17	23																																														27226
2000	4	6	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.71		1501				177000	1428		0		0	0	61	73	48				210	190			0			17.9	23																																														27226
2000	4	7	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.72		1135				197000	1232		0		0	0	67	78	56				190	190			0			19.9	23			1											1																																27226
2000	4	8	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	11.86		1134				215000	1141		0.02		0	0	54	67	40				340	340			0			29.1	36.9			1											1			1																													27226
2000	4	9	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	5.37		921				221000	1114		0		0	0	52	68	35				40	20			0			15	17.9																																														27226
2000	4	10	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.05		1338				205000	1300		0		0	0	56	71	40				150	150			0			19.9	25.1																																														27226
2000	4	11	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	9.17		1328				162000	1203		0		0	0	66	76	55				150	160			0			19.9	23.9			1											1																																27226
2000	4	12	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.92		1501				103000	1232		0		0	0	70	81	58				140	120			0			15	19.9			1											1																																27226
2000	4	13	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.47		1450				66300	1746		0.47		0	0	68	77	58				150	300			0			17	23			1		1									1			1																													27226
2000	4	14	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.93		1350				58000	1504		0.03		0	0	64	72	56				90	90			0			16.1	19.9			1	1										1			1																													27226
2000	4	15	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.93		1639				54800	1638		0		0	0	65	73	56				160	160			0			11	13			1											1																																27226
2000	4	16	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.92		1400				45100	1257		0		0	0	69	81	57				200	230			0			17	21			1	1										1																																27226
2000	4	17	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.28		1609				42000	1316		0		0	0	73	84	61				310	290			0			16.1	23			1											1																																27226
2000	4	18	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.04		1132				36600	1430		0		0	0	67	82	52				10	310			0			14.1	17																																														27226
2000	4	19	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	5.59		1428				29900	1426		0		0	0	69	85	52				210	200			0			16.1	19.9			1	1										1																																27226
2000	4	20	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	10.29		1649				24400	1649		0		0	0	73	82	63				200	200			0			21	28			1	1										1																																27226
2000	4	21	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.5		1004				23000	1649		0		0	0	69	80	57				310	320			0			16.1	21.9																																														27226
2000	4	22	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.7		1657				20200	1703		0		0	0	62	77	46				230	210			0			14.1	16.1																																														27226
2000	4	23	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	9.4		1223				16600	1810		0		0	0	64	75	52				130	140			0			30	38																	1																													27226
2000	4	24	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	10.51		307				13900	307		1.1		0	0	69	81	57				240	240			0			25.1	34			1		1		1							1			1																													27226
2000	4	25	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.72		1327				13600	1439		0		0	0	65	77	52				340	340			0			17.9	23																																														27226
2000	4	26	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	3.8		1359				12000	1358		0.12		0	0	63	77	48				20	20			0			17.9	23.9			1		1									1			1																													27226
2000	4	27	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.25		1319				11400	1102		0		0	0	63	77	49				290	310			0			11	16.1																																														27226
2000	4	28	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.05		1638				11800	1243		0.03		0	0	68	81	54				350	300			0			17	21.9																	1																													27226
2000	4	29	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.25		1732				11700	1502		0		0	0	65	81	48				200	230			0			11	17.9																																														27226
2000	4	30	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.92		636				12400	1630		0		0	0	68	82	53				50	180			0			14.1	16.1																																														27226
2000	5	1	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.05		907				11800	1021		0		0	0	70	82	57				130	130			0			19.9	23.9			1											1																																27226
2000	5	2	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.38		1325				11900	1324		0		0	0	75	84	65				210	210			0			16.1	19.9			1											1																																27226
2000	5	3	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.38		1310				9790	1009		0		0	0	72	83	60				160	150			0			17.9	23			1											1																																27226
2000	5	4	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	12.08		1413				8820	1412		0.01		0	0	72	83	60				130	120			0			25.1	30			1	1						1				1			1																													27226
2000	5	5	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	10.29		1112				8020	1111		0		0	0	75	84	66				150	150			0			17.9	23.9																																														27226
2000	5	6	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.83		1021				6470	1342		0		0	0	74	84	63				140	140			0			17.9	21			1	1										1																																27226
2000	5	7	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	5.82		1307				4900	1129		0		0	0	73	84	62				160	140			0			15	17.9			1											1																																27226
2000	5	8	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	7.61		1538				4240	1602		0		0	0	74	86	62				170	160			0			17.9	21																																														27226
2000	5	9	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.95		1634				6230	1425		0		0	0	75	85	65				180	210			0			17.9	23																																														27226
2000	5	10	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	6.49		1646				5670	1646		0		0	0	78	89	66				190	190			0			17.9	21.9			1											1																																27226
2000	5	11	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	8.95		1457				4360	1547		0		0	0	80	89	71				210	190			0			17	19.9																																														27226
2000	5	12	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	9.62		1342				4100	1338		0		0	0	80	89	71				190	200			0			17.9	23																																														27226
2000	5	13	USW00013894	"MOBILE REGIONAL AIRPORT, AL US"	30.68819	-88.24598	65.5	4.92		1417				4880	1408		0.13		0	0	79	90	68				10	300			0			25.1	30			1	1	1									1			1																													27226
