  33.71								
 165								
 577320463								
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)	DrainageDensity
1980 03 31 12	44582.4	0	437.38	0	12.55	12.55	1089.02	0.65
1980 04 01 12	44582.4	0	503.83	0	12.8	12.8	1086.17	0.65
1980 04 02 12	44582.4	1.17	235.73	0	14.45	14.45	1330.12	0.65
1980 04 03 12	44928	2.47	263.35	0	16.47	16.47	1713.83	0.65
1980 04 04 12	44928	2.57	498.86	0	16.56	16.56	1497	0.65
1980 04 05 12	45273.6	0	482.92	0	10.53	10.53	858.2	0.65
1980 04 06 12	45273.6	0	385.1	0	11.62	11.62	919.05	0.65
1980 04 07 12	45273.6	0.83	486.02	0	14.52	14.52	1416.41	0.65
1980 04 08 12	45619.2	5.48	376.17	0	18.3	18.3	1752.29	0.65
1980 04 09 12	45619.2	0	522.78	0	12.97	12.97	994.61	0.65
1980 04 10 12	45619.2	1.89	522.7	0	12.62	12.62	891.11	0.65
1980 04 11 12	45964.8	11.92	328.3	0	13.19	13.19	1136.59	0.65
1980 04 12 12	45964.8	109.32	194.76	0	16.08	16.08	1739.12	0.65
1980 04 13 12	45974.37	40.47	206.15	0	15.49	15.49	1667.53	0.65
1980 04 14 12	46310.4	4.2	239.21	0	10.66	10.66	1173.72	0.65
1980 04 15 12	46310.4	0	504.69	0	9.45	9.45	860.53	0.65
1980 04 16 12	46502.57	0	525.02	0	12.43	12.43	937.66	0.65
1980 04 17 12	46656	0.04	467.81	0	14.13	14.13	1002.97	0.65
1980 04 18 12	46656	0.26	438.01	0	15.95	15.95	1252.16	0.65
1980 04 19 12	46984.59	0.34	441.49	0	17.49	17.49	1331.02	0.65
1980 04 20 12	47001.6	0	520.6	0	19.34	19.34	1425.87	0.65
1980 04 21 12	47001.6	0	517.32	0	19.51	19.51	1477.13	0.65
1980 04 22 12	47330.19	0	521.84	0	20.3	20.3	1488.14	0.65
1980 04 23 12	47347.2	0	498.4	0	22.06	22.06	1618.8	0.65
1980 04 24 12	47347.2	0	518.59	0	20.85	20.85	1805.15	0.65
1980 04 25 12	47675.79	9.9	320.78	0	19.53	19.53	1891.7	0.65
1980 04 26 12	47692.8	55.88	387.87	0	20.52	20.52	2092.96	0.65
1980 04 27 12	47692.8	2.53	407.47	0	15.9	15.9	1527.02	0.65
1980 04 28 12	47959.74	0.01	359.72	0	13.51	13.51	1208.55	0.65
1980 04 29 12	48038.4	0.59	514.34	0	15.82	15.82	1344.96	0.65
1980 04 30 12	48038.4	0	517.6	0	15.86	15.86	1297.31	0.65
1980 05 01 12	48161.31	0.17	201.53	0	16.2	16.2	1405.66	0.65
1980 05 02 12	48384	0.12	338.72	0	17.98	17.98	1631.59	0.65
1980 05 03 12	48384	1.66	372.63	0	18.73	18.73	1663.86	0.65
1980 05 04 12	48393.57	0	580.99	0	19.73	19.73	1560.4	0.65
1980 05 05 12	48729.6	0	554.5	0	19.07	19.07	1481.73	0.65
1980 05 06 12	48729.6	0	576.88	0	20.38	20.38	1585.55	0.65
1980 05 07 12	48729.6	0.71	532.46	0	20.99	20.99	1813.85	0.65
1980 05 08 12	48996.54	0.75	558.36	0	19.64	19.64	1797.4	0.65
1980 05 09 12	49075.2	0	597.23	0	13.6	13.6	1050.29	0.65
1980 05 10 12	49075.2	0	582.97	0	16.05	16.05	1218.48	0.65
1980 05 11 12	49084.77	0	567.56	0	20.4	20.4	1884.06	0.65
1980 05 12 12	49420.8	0	543.97	0	22.73	22.73	2148.46	0.65
1980 05 13 12	49420.8	0.01	386.38	0	23.44	23.44	2324.01	0.65
1980 05 14 12	49420.8	10.01	332.55	0	22.64	22.64	2268.26	0.65
1980 05 15 12	49481.41	0.63	456.59	0	20.78	20.78	1929.81	0.65
1980 05 16 12	49766.4	26.48	259.3	0	21.28	21.28	2201.17	0.65
1980 05 17 12	49766.4	49.8	302.11	0	20.25	20.25	2179.36	0.65
1980 05 18 12	49766.4	2.75	498.01	0	21.37	21.37	2090.04	0.65
1980 05 19 12	49775.97	4.23	359.59	0	23.51	23.51	2358.73	0.65
1980 05 20 12	50094.99	11.36	301.56	0	22.14	22.14	2143.04	0.65
1980 05 21 12	50112	0.16	477.64	0	21.69	21.69	1991.12	0.65
1980 05 22 12	50112	36.67	259.53	0	20.89	20.89	2082.35	0.65
1980 05 23 12	50112	14.79	342.42	0	20.85	20.85	2120.99	0.65
1980 05 24 12	50234.91	1.87	494.04	0	23.02	23.02	2200.29	0.65
1980 05 25 12	50457.6	0	364.23	0	24.13	24.13	2346.41	0.65
1980 05 26 12	50457.6	0	573.34	0	24.29	24.29	2270.9	0.65
1980 05 27 12	50457.6	0	580.13	0	23.6	23.6	2158.04	0.65
1980 05 28 12	50457.6	0	246.57	0	24.44	24.44	2438.83	0.65
1980 05 29 12	50467.17	2.62	315.47	0	24.14	24.14	2491.64	0.65
1980 05 30 12	50724.54	0.36	547.33	0	24.94	24.94	2408.86	0.65
1980 05 31 12	50803.2	0	496.43	0	24.27	24.27	2354.73	0.65
1980 06 01 12	50803.2	0	573.95	0	24.53	24.53	2368.16	0.65
1980 06 02 12	50803.2	0	549.96	0	24.76	24.76	2433.18	0.65
1980 06 03 12	50803.2	0	572.76	0	24.82	24.82	2497.8	0.65
1980 06 04 12	50803.2	0	558.55	0	26.05	26.05	2601.99	0.65
1980 06 05 12	50812.77	0	570.91	0	27.16	27.16	2683.88	0.65
1980 06 06 12	50995.38	0	528.73	0	27.69	27.69	2876.53	0.65
1980 06 07 12	51131.79	0	574.01	0	27.09	27.09	2803.95	0.65
1980 06 08 12	51148.8	0	479.01	0	26.94	26.94	2885.04	0.65
1980 06 09 12	51148.8	0.07	500	0	19.16	19.16	1627.2	0.65
1980 06 10 12	51148.8	0	590.69	0	18.83	18.83	1490.32	0.65
1980 06 11 12	51148.8	0	583.54	0	22.76	22.76	1743.01	0.65
1980 06 12 12	51148.8	0	599.44	0	21.29	21.29	1588.09	0.65
1980 06 13 12	51148.8	0	584.19	0	23.08	23.08	1839.16	0.65
1980 06 14 12	51148.8	0	571.31	0	24.48	24.48	2174.75	0.65
1980 06 15 12	51148.8	0	578.08	0	24.88	24.88	2341.66	0.65
1980 06 16 12	51148.8	0.08	554.54	0	25.52	25.52	2510.19	0.65
1980 06 17 12	51148.8	1.58	306.23	0	25.71	25.71	2602.99	0.65
1980 06 18 12	51148.8	3.4	276.97	0	25.82	25.82	2608.54	0.65
1980 06 19 12	51148.8	5.45	341.57	0	25.57	25.57	2606.92	0.65
1980 06 20 12	51148.8	3.16	509.08	0	25.7	25.7	2472.04	0.65
1980 06 21 12	51148.8	4.21	420.25	0	25.27	25.27	2326.25	0.65
1980 06 22 12	51148.8	0.19	309.44	0	25.53	25.53	2581.82	0.65
1980 06 23 12	51148.8	12.78	305.56	0	24.65	24.65	2578.23	0.65
1980 06 24 12	51148.8	6.54	391.78	0	24.3	24.3	2491.94	0.65
1980 06 25 12	51148.8	1.27	368.65	0	25.73	25.73	2713.9	0.65
1980 06 26 12	51148.8	0	563.04	0	28.51	28.51	2820.66	0.65
1980 06 27 12	51148.8	0	561.15	0	28.34	28.34	2804.63	0.65
1980 06 28 12	51148.8	0	534.84	0	28.7	28.7	2941.9	0.65
1980 06 29 12	51148.8	20.81	373.18	0	27.38	27.38	3004.48	0.65
1980 06 30 12	51148.8	2.87	573.76	0	28.37	28.37	2855.69	0.65
1980 07 01 12	51148.8	0	635.65	0	28.92	28.92	2821.91	0.65
1980 07 02 12	51148.8	0	581.03	0	29.88	29.88	3147.02	0.65
1980 07 03 12	51148.8	0	640.23	0	28.65	28.65	2937.15	0.65
1980 07 04 12	51070.14	0	630.05	0	28.3	28.3	2846.66	0.65
1980 07 05 12	50926.11	0	623.02	0	29.07	29.07	3097.66	0.65
1980 07 06 12	50803.2	1.63	575.4	0	30.38	30.38	3245.34	0.65
1980 07 07 12	50803.2	2.72	535.26	0	31.03	31.03	3228.97	0.65
1980 07 08 12	50803.2	0.86	644.59	0	31.17	31.17	3066.26	0.65
1980 07 09 12	50803.2	0	636.8	0	30.31	30.31	3004.26	0.65
1980 07 10 12	50803.2	0	627.77	0	30.16	30.16	3055.08	0.65
1980 07 11 12	50786.19	0	635.29	0	29.87	29.87	3027.18	0.65
1980 07 12 12	50580.52	0	636.3	0	30.35	30.35	2946.55	0.65
1980 07 13 12	50457.6	0	643.72	0	30.28	30.28	2902.28	0.65
1980 07 14 12	50457.6	0	637.32	0	30.98	30.98	3151.33	0.65
1980 07 15 12	50457.6	0.07	632.61	0	31.81	31.81	3105.36	0.65
1980 07 16 12	50457.6	1.39	605	0	31.98	31.98	3085.06	0.65
1980 07 17 12	50378.94	0.91	624.69	0	30.61	30.61	2870.86	0.65
1980 07 18 12	50121.57	1.58	618.04	0	30.53	30.53	2812.42	0.65
1980 07 19 12	50112	0.96	594.87	0	30.09	30.09	2693.55	0.65
1980 07 20 12	50112	1.56	421	0	27.73	27.73	2734.75	0.65
1980 07 21 12	50112	6.93	372.51	0	26.3	26.3	2693.45	0.65
1980 07 22 12	49958.57	10.62	324.03	0	25.94	25.94	2713.92	0.65
1980 07 23 12	49766.4	8.23	347.3	0	25.51	25.51	2586.06	0.65
1980 07 24 12	49766.4	1.13	411.53	0	26.26	26.26	2597.9	0.65
1980 07 25 12	49766.4	3.05	356.86	0	26.85	26.85	2697.11	0.65
1980 07 26 12	49687.74	1.55	387.45	0	27.37	27.37	2765.65	0.65
1980 07 27 12	49420.8	9.14	313.36	0	26.2	26.2	2755.27	0.65
1980 07 28 12	49420.8	1.44	410.3	0	25.9	25.9	2631.73	0.65
1980 07 29 12	49420.8	0.41	618.41	0	27.89	27.89	2582.1	0.65
1980 07 30 12	49267.38	0	643.66	0	28.04	28.04	2508.86	0.65
1980 07 31 12	49075.2	0	567.1	0	29.27	29.27	2711.6	0.65
1980 08 01 12	49075.2	0	511.75	0	28.35	28.35	2608.18	0.65
1980 08 02 12	49075.2	7.6	431.51	0	28.12	28.12	2826.72	0.65
1980 08 03 12	48739.17	8.59	482.33	0	27.29	27.29	2766.54	0.65
1980 08 04 12	48729.6	0.99	506.13	0	27.67	27.67	2726.79	0.65
1980 08 05 12	48729.6	0	600.09	0	27.18	27.18	2444.24	0.65
1980 08 06 12	48650.94	0	538.88	0	28.58	28.58	2600.16	0.65
1980 08 07 12	48384	3.9	521.73	0	30.39	30.39	2664.26	0.65
1980 08 08 12	48384	0.51	573.78	0	30.49	30.49	2671.54	0.65
1980 08 09 12	48384	0.49	544.45	0	30.52	30.52	2763.65	0.65
1980 08 10 12	48038.4	1.35	386	0	29.42	29.42	2854.97	0.65
1980 08 11 12	48038.4	4.3	344.86	0	28.47	28.47	2882.74	0.65
1980 08 12 12	48038.4	1.72	394.14	0	28.06	28.06	2947.79	0.65
1980 08 13 12	47692.8	0.71	513.33	0	29.25	29.25	2949.37	0.65
1980 08 14 12	47692.8	4.35	504.02	0	28.7	28.7	2801.95	0.65
1980 08 15 12	47692.8	1.51	366.81	0	28.17	28.17	2925.36	0.65
1980 08 16 12	47347.2	0.18	350.72	0	28.37	28.37	2914.76	0.65
1980 08 17 12	47347.2	1.57	360.24	0	28.28	28.28	2903.6	0.65
1980 08 18 12	47347.2	7.42	362.15	0	28.32	28.32	2937.89	0.65
1980 08 19 12	47001.6	0.53	337.01	0	28.83	28.83	3023.13	0.65
1980 08 20 12	47001.6	0.02	437.68	0	29.67	29.67	2983.44	0.65
1980 08 21 12	47001.6	1	564.05	0	30.59	30.59	2986.2	0.65
1980 08 22 12	46656	0	599.2	0	28.97	28.97	2461.45	0.65
1980 08 23 12	46656	0	539.16	0	24.66	24.66	2199.35	0.65
1980 08 24 12	46656	2.19	498.47	0	27.05	27.05	2618.9	0.65
1980 08 25 12	46310.4	0.26	335.16	0	27.87	27.87	2593.96	0.65
1980 08 26 12	46310.4	0.15	563.11	0	26.31	26.31	2367.34	0.65
1980 08 27 12	46310.4	0.23	368.14	0	25.88	25.88	2066.55	0.65
1980 08 28 12	45964.8	0.67	374.82	0	26.27	26.27	2292.2	0.65
1980 08 29 12	45964.8	13.52	344.76	0	25.52	25.52	2460.65	0.65
1980 08 30 12	45964.8	1.08	320.76	0	25.7	25.7	2536.22	0.65
1980 08 31 12	45619.2	0.01	508.69	0	27.08	27.08	2574.99	0.65
1980 09 01 12	45619.2	3.45	350.24	0	28.18	28.18	2725.29	0.65
1980 09 02 12	45334.21	3.65	368.72	0	27.86	27.86	2687.5	0.65
1980 09 03 12	45273.6	0.9	340.28	0	27.6	27.6	2572.66	0.65
1980 09 04 12	45273.6	1.19	460.05	0	27.59	27.59	2507.01	0.65
1980 09 05 12	44928	7	356.55	0	28.15	28.15	2622.45	0.65
1980 09 06 12	44928	0.44	341.18	0	27.98	27.98	2577.19	0.65
1980 09 07 12	44928	0	515.3	0	28.76	28.76	2465.74	0.65
1980 09 08 12	44582.4	1.2	503.2	0	29.48	29.48	2265.82	0.65
1980 09 09 12	44582.4	0	526.01	0	28.74	28.74	2169.93	0.65
1980 09 10 12	44582.4	0.27	485.34	0	29.17	29.17	2309.23	0.65
1980 09 11 12	44236.8	0	524.07	0	25.39	25.39	2056.07	0.65
1980 09 12 12	44236.8	0	487.9	0	26.61	26.61	2148.2	0.65
1980 09 13 12	43891.2	0	486.38	0	27.76	27.76	2437.22	0.65
1980 09 14 12	43891.2	0.08	388.04	0	28.2	28.2	2274.09	0.65
1980 09 15 12	43891.2	0.44	511.15	0	28.63	28.63	2349.91	0.65
1980 09 16 12	43545.6	0.25	510.07	0	27.57	27.57	2252.14	0.65
1980 09 17 12	43545.6	5.56	299.71	0	25.05	25.05	2441.29	0.65
1980 09 18 12	43545.6	1.02	488.39	0	23.47	23.47	2117.42	0.65
1980 09 19 12	43200	0.81	371.89	0	23.62	23.62	1954.36	0.65
1980 09 20 12	43200	0.24	397.45	0	25.44	25.44	2552.72	0.65
1980 09 21 12	42854.4	0.56	371.2	0	27.1	27.1	2745.11	0.65
1980 09 22 12	42854.4	0	456.55	0	27.98	27.98	2763.76	0.65
1980 09 23 12	42854.4	2.68	410.44	0	26.53	26.53	2583.93	0.65
1980 09 24 12	42508.8	4.13	333.05	0	27.56	27.56	2640.59	0.65
1980 09 25 12	42508.8	32.2	201.34	0	25.96	25.96	2694.95	0.65
1980 09 26 12	42508.8	0.5	442.93	0	23.52	23.52	2157.66	0.65
1980 09 27 12	42163.2	0.17	185.86	0	18.88	18.88	1381.06	0.65
1980 09 28 12	42163.2	43.47	221.58	0	17.18	17.18	1770.75	0.65
1980 09 29 12	41817.6	22.56	209.1	0	20.55	20.55	2269.02	0.65
1980 09 30 12	41817.6	21.55	303.79	0	19.19	19.19	1958.52	0.65
1980 10 01 12	41817.6	0	496.03	0	20.06	20.06	1857.95	0.65
1980 10 02 12	41472	0	489.86	0	21.47	21.47	1867.69	0.65
1980 10 03 12	41472	0	517.68	0	16.83	16.83	1231.48	0.65
1980 10 04 12	41472	0	505.36	0	13.6	13.6	930.59	0.65
1980 10 05 12	41126.4	0	498.35	0	12.08	12.08	984.49	0.65
1980 10 06 12	41126.4	0	515.45	0	10.27	10.27	852.48	0.65
1980 10 07 12	41065.79	0	502.44	0	14.01	14.01	939.26	0.65
1980 10 08 12	40780.8	0	494.63	0	18.1	18.1	1222.87	0.65
1980 10 09 12	40780.8	0	488.7	0	19.81	19.81	1434.55	0.65
1980 10 10 12	40435.2	0	486.74	0	21.36	21.36	1547.2	0.65
1980 10 11 12	40435.2	0	492.58	0	20.23	20.23	1370.03	0.65
1980 10 12 12	40435.2	0	498.42	0	12.77	12.77	809.94	0.65
1980 10 13 12	40089.6	0	501.94	0	11.7	11.7	786.85	0.65
1980 10 14 12	40089.6	0	489.38	0	14.48	14.48	872.52	0.65
1980 10 15 12	40089.6	0	474.08	0	16.3	16.3	1201.72	0.65
1980 10 16 12	39744	4.38	451.75	0	20.37	20.37	1655.01	0.65
1980 10 17 12	39744	9.25	244.79	0	22.15	22.15	2180.01	0.65
1980 10 18 12	39744	16.08	265.79	0	23.15	23.15	2391.59	0.65
1980 10 19 12	39398.4	4.08	313.17	0	21.1	21.1	1946.01	0.65
1980 10 20 12	39398.4	0	433.52	0	12.59	12.59	914.44	0.65
1980 10 21 12	39398.4	0	458.53	0	14.75	14.75	963.51	0.65
1980 10 22 12	39052.8	0	305.65	0	16.89	16.89	1210.3	0.65
1980 10 23 12	39052.8	2.18	378.3	0	17.1	17.1	1418.22	0.65
1980 10 24 12	39052.8	13.41	269.76	0	15.54	15.54	1501.5	0.65
1980 10 25 12	38707.2	4.58	434.91	0	11.21	11.21	1031.4	0.65
1980 10 26 12	38707.2	0.78	413.46	0	9.15	9.15	777.5	0.65
1980 10 27 12	38707.2	14.07	117.62	0	11.28	11.28	1117.56	0.65
1980 10 28 12	38361.6	26.78	366.3	0	16.86	16.86	1598.62	0.65
1980 10 29 12	38361.6	0.09	306.9	0	12.87	12.87	1212.61	0.65
1980 10 30 12	38361.6	0.1	428.01	0	10.37	10.37	881.3	0.65
1980 10 31 12	38016	0	446.33	0	8.64	8.64	711.61	0.65
1980 11 01 12	38016	0	392.01	0	12.42	12.42	831.8	0.65
1980 11 02 12	38016	0	368.02	0	15.71	15.71	1027.85	0.65
1980 11 03 12	37749.06	0	316.54	0	17.7	17.7	1290.26	0.65
1980 11 04 12	37670.4	0	378.95	0	16.81	16.81	1236.75	0.65
1980 11 05 12	37670.4	0	378.99	0	11.92	11.92	768.98	0.65
1980 11 06 12	37660.83	0	378.89	0	12.01	12.01	732.39	0.65
1980 11 07 12	37324.8	0	370.29	0	14.16	14.16	1114.19	0.65
1980 11 08 12	37324.8	0	364.97	0	16.68	16.68	1467.5	0.65
1980 11 09 12	37324.8	0	361.34	0	17.86	17.86	1646.13	0.65
1980 11 10 12	37132.62	0	370.64	0	19.03	19.03	1491.73	0.65
1980 11 11 12	36979.2	0	373.69	0	13.88	13.88	826.87	0.65
1980 11 12 12	36979.2	0	371.06	0	10.44	10.44	614.17	0.65
1980 11 13 12	36979.2	0	363.5	0	11.53	11.53	665.75	0.65
1980 11 14 12	36712.26	16.92	127.95	0	13.43	13.43	1244.71	0.65
1980 11 15 12	36633.6	18.06	198.53	0	16.53	16.53	1691.69	0.65
1980 11 16 12	36633.6	0.19	195.96	0	13.39	13.39	1334.98	0.65
1980 11 17 12	36633.6	19.67	124.41	0	15.56	15.56	1646.42	0.65
1980 11 18 12	36441.43	0.22	198.35	0	8.99	8.99	1028.16	0.65
1980 11 19 12	36288	0	347.67	0	4.59	4.59	591.67	0.65
1980 11 20 12	36288	0	340.14	0	4.29	4.29	561.9	0.65
1980 11 21 12	36288	0	355.89	0	5.4	5.4	598.12	0.65
1980 11 22 12	36278.43	1.21	197.35	0	6.43	6.43	660.75	0.65
1980 11 23 12	36021.06	43.72	100.01	0	7.95	7.95	997.07	0.65
1980 11 24 12	35942.4	4.57	270.96	0	11.65	11.65	1211.17	0.65
1980 11 25 12	35942.4	0.36	325.27	0	8.54	8.54	872.51	0.65
1980 11 26 12	35942.4	15.05	94.44	0	5.37	5.37	805.82	0.65
1980 11 27 12	35942.4	15	249.61	0	5.22	5.22	785.9	0.65
1980 11 28 12	35819.48	0	150.74	0	4.5	4.5	671.09	0.65
1980 11 29 12	35613.81	0	344.18	0	6.23	6.23	654.68	0.65
1980 11 30 12	35596.8	0	336.04	0	7.6	7.6	641.48	0.65
1980 12 01 12	35596.8	0	319.68	0	9.37	9.37	900.67	0.65
1980 12 02 12	35596.8	0	166.73	0	13.19	13.19	1295.41	0.65
1980 12 03 12	35596.8	0	328.08	0	4.66	4.66	607.13	0.65
1980 12 04 12	35596.8	0	319.55	0	5.67	5.67	579.34	0.65
1980 12 05 12	35473.89	0	315.52	0	8.26	8.26	751.04	0.65
1980 12 06 12	35329.86	0	308.8	0	12.12	12.12	1089.71	0.65
1980 12 07 12	35251.2	0	309.31	0	14.54	14.54	1263.77	0.65
1980 12 08 12	35251.2	0.38	239.37	0	14.79	14.79	1340.34	0.65
1980 12 09 12	35251.2	15.22	103.54	0	17.08	17.08	1780.51	0.65
1980 12 10 12	35251.2	8.05	315.32	0	10.9	10.9	1114.38	0.65
1980 12 11 12	35251.2	0	317.36	0	3.6	3.6	584.03	0.65
1980 12 12 12	35251.2	0	313.63	0	5.82	5.82	629.03	0.65
1980 12 13 12	35251.2	0	307.94	0	7.21	7.21	758.89	0.65
